,執行單位,標案名稱,詳細連結
79,金門縣政府觀光處,山外公車站停車場改建平面式公眾停車場案,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242N2C282A47&iprjno=2O1R1S27232526292B2C2E2L2L&iuid=3T3F4C4C3N4E3Q4A
80,金門縣政府工務處建築工程科,金門縣金湖鎮衛生所新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372D47&iprjno=2O1R1S26232526292B2C2F2K2L&iuid=3T3F4C4C3N4E3Q4A
81,金門縣政府工務處建築工程科,金門縣開瑄國小校舍及戶外運動場新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372D47&iprjno=2O1R1S28232526292B2C2E2G2J&iuid=3T3F4C4C3N4E3Q4A
82,金門縣金湖鎮正義國民小學,正義國小無障礙校園環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2G3N&iprjno=2O1R1S272526262F2B2C2F2L2N&iuid=3T3F4C4C3N4E3Q4A
83,金門縣金湖鎮金湖國民小學,金湖國小體育館外牆拉皮整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2F3N&iprjno=2O1R1S282526262D2B2C2E2N2J&iuid=3T3F4C4C3N4E3Q4A
84,金門縣金湖鎮金湖國民小學,金湖國小教室鋁門窗更新工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2F3N&iprjno=2O1R1S282526262D2B2C2E2K2R&iuid=3T3F4C4C3N4E3Q4A
85,金門縣金湖鎮金湖國民小學,金湖國小一期校舍室內裝修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2H2F3N&iprjno=2O1R1S282526262D2B2C2E2N2L&iuid=3T3F4C4C3N4E3Q4A
86,金門縣政府建設處,金門縣新湖及復國墩漁港水環境改善景觀工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S27232526292B2C2F2L2J&iuid=3T3F4C4C3N4E3Q4A
87,金門縣政府建設處,金門縣新湖及復國墩漁港水環境改善計畫-水岸改善及復育區建置工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S27232526292B2C2F2K2R&iuid=3T3F4C4C3N4E3Q4A
88,金門縣港務處,料羅港區港務消防分隊暨岸巡辦公廳舍工程-建築工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A26282A3B&iprjno=2O1R1S252426262C2B2C2E2P2L&iuid=3T3F4C4C3N4E3Q4A
