,鄉鎮,table連結
137,高雄市大樹區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1204&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
138,高雄市大寮區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1203&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
139,高雄市林園區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1202&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
140,高雄市鳳山區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1201&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
141,台南市安平區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1138&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
142,台南市安南區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1137&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
143,台南市北區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1135&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
144,台南市中西區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1134&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
145,台南市南區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1133&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
146,台南市東區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1132&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
147,台南市永康區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1131&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
148,台南市龍崎區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1130&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
149,台南市關廟區,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.rnap4?iplscode=1129&iwebcod=&iuid=3T3F4C4C3N4E3Q4A
